shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10081,33.858903,-118.266020,110015,4.008
10081,33.858939,-118.266020,110016,4.011
10081,33.859036,-118.266019,110017,4.017
10081,33.859266,-118.266019,110018,4.033
10081,33.859266,-118.266019,120001,4.033
10081,33.859327,-118.266018,120002,4.037
10081,33.859582,-118.266018,120003,4.055
10081,33.859860,-118.266022,120004,4.074
10081,33.860215,-118.266018,120005,4.098
10081,33.860503,-118.266020,120006,4.118
10081,33.860977,-118.266023,120007,4.151
10081,33.861061,-118.266021,120008,4.157
10081,33.861675,-118.266008,120009,4.199
10081,33.862288,-118.266018,120010,4.241
10081,33.862447,-118.266012,120011,4.252
10081,33.862635,-118.266010,120012,4.265
10081,33.862768,-118.266008,120013,4.274
10081,33.862982,-118.266006,120014,4.289
10081,33.863027,-118.266005,120015,4.292
10081,33.863126,-118.266006,120016,4.299
10081,33.863323,-118.266008,120017,4.313
10081,33.863346,-118.266009,120018,4.314
10081,33.863346,-118.266009,130001,4.314
10081,33.863820,-118.266014,130002,4.347
10081,33.864629,-118.266012,130003,4.403
10081,33.864849,-118.266012,130004,4.418
10081,33.865246,-118.266011,130005,4.445
10081,33.866180,-118.266010,130006,4.510
10081,33.866370,-118.266016,130007,4.523
10081,33.866551,-118.266022,130008,4.535
10081,33.866768,-118.266022,130009,4.550
10081,33.866933,-118.266022,130010,4.562
10081,33.866942,-118.265724,130011,4.579
10081,33.866942,-118.265724,140001,4.579
10081,33.866993,-118.264086,140002,4.673
10081,33.866995,-118.264038,140003,4.676
10081,33.867002,-118.263732,140004,4.693
10081,33.867064,-118.261533,140005,4.820
10081,33.867072,-118.261275,140006,4.835
10081,33.867072,-118.261275,150001,4.835
10081,33.867075,-118.261151,150002,4.842
10081,33.867107,-118.260221,150003,4.895
10081,33.867118,-118.259891,150004,4.914
10081,33.867129,-118.259493,150005,4.937
10081,33.867140,-118.259125,150006,4.958
10081,33.867168,-118.258184,150007,5.013
10081,33.867187,-118.257543,150008,5.049
10081,33.867203,-118.256792,150009,5.093
10081,33.867204,-118.256760,150010,5.094
10081,33.867221,-118.256111,150011,5.132
10081,33.867224,-118.256016,150012,5.137
10081,33.867241,-118.255450,150013,5.170
10081,33.867242,-118.255416,150014,5.172
10082,33.867274,-118.257770,10001,0.000
10082,33.867266,-118.258083,10002,0.018
10082,33.867223,-118.259497,10003,0.099
10082,33.867213,-118.259892,10004,0.122
10082,33.867174,-118.261153,10005,0.195
10082,33.867170,-118.261311,10006,0.204
10082,33.867167,-118.261414,10007,0.210
10082,33.867167,-118.261414,20001,0.210
10082,33.867126,-118.262912,20002,0.296
10082,33.867115,-118.263348,20003,0.321
10082,33.867103,-118.263720,20004,0.342
10082,33.867067,-118.265188,20005,0.427
10082,33.867045,-118.266018,20006,0.474
10082,33.867039,-118.266121,20007,0.480
10082,33.867037,-118.266194,20008,0.485
10082,33.867036,-118.266266,20009,0.489
10082,33.866932,-118.266273,20010,0.496
10082,33.866704,-118.266281,20011,0.512
10082,33.866704,-118.266281,30001,0.512
10082,33.866618,-118.266284,30002,0.518
10082,33.866420,-118.266286,30003,0.531
10082,33.866061,-118.266289,30004,0.556
10082,33.865458,-118.266270,30005,0.598
10082,33.865253,-118.266264,30006,0.612
10082,33.865021,-118.266260,30007,0.628
10082,33.864640,-118.266254,30008,0.654
10082,33.864178,-118.266254,30009,0.686
10082,33.863850,-118.266254,30010,0.708
10082,33.863290,-118.266253,30011,0.747
10082,33.863136,-118.266254,30012,0.758
10082,33.863033,-118.266254,30013,0.765
10082,33.862833,-118.266254,30014,0.778
10082,33.862833,-118.266254,40001,0.778
10082,33.862784,-118.266254,40002,0.782
10082,33.862572,-118.266255,40003,0.796
10082,33.862486,-118.266255,40004,0.802
10082,33.862397,-118.266254,40005,0.809
10082,33.862352,-118.266254,40006,0.812
10082,33.862112,-118.266253,40007,0.828
10082,33.861892,-118.266253,40008,0.843
10082,33.861672,-118.266252,40009,0.858
10082,33.861441,-118.266253,40010,0.874
10082,33.861157,-118.266255,40011,0.894
10082,33.861058,-118.266255,40012,0.901
10082,33.860976,-118.266255,40013,0.906
10082,33.860522,-118.266253,40014,0.938
10082,33.860222,-118.266252,40015,0.958
10082,33.860215,-118.266252,40016,0.959
10082,33.859860,-118.266258,40017,0.983
10082,33.859363,-118.266258,40018,1.018
10082,33.859044,-118.266259,40019,1.040
10082,33.858933,-118.266259,40020,1.047
10082,33.858696,-118.266260,40021,1.064
10082,33.858659,-118.266260,40022,1.066
10082,33.858659,-118.266260,50001,1.066
10082,33.858393,-118.266258,50002,1.084
10082,33.858222,-118.266247,50003,1.096
10082,33.857853,-118.266213,50004,1.122
10082,33.856987,-118.266097,50005,1.182
10082,33.856921,-118.266088,50006,1.186
10082,33.856804,-118.266071,50007,1.195
10082,33.856746,-118.266062,50008,1.199
10082,33.856538,-118.266036,50009,1.213
10082,33.856356,-118.266012,50010,1.226
10082,33.856312,-118.266007,50011,1.229
10082,33.854140,-118.265727,50012,1.379
10082,33.853983,-118.265703,50013,1.390
10082,33.853568,-118.265655,50014,1.419
10082,33.853439,-118.265640,50015,1.428
10082,33.853439,-118.265640,60001,1.428
10082,33.853334,-118.265628,60002,1.435
10082,33.853065,-118.265594,60003,1.454
10082,33.852772,-118.265556,60004,1.474
10082,33.852192,-118.265484,60005,1.514
10082,33.851068,-118.265327,60006,1.592
10082,33.849940,-118.265183,60007,1.670
10082,33.849800,-118.265165,60008,1.680
10082,33.849535,-118.265133,60009,1.699
10082,33.849278,-118.265102,60010,1.716
10082,33.849054,-118.265078,60011,1.732
10082,33.848502,-118.265020,60012,1.770
10082,33.848215,-118.264985,60013,1.790
10082,33.847995,-118.264852,60014,1.807
10082,33.847956,-118.264833,60015,1.810
10082,33.847795,-118.264805,60016,1.821
10082,33.847683,-118.264789,60017,1.829
10082,33.847620,-118.264780,60018,1.833
10082,33.847577,-118.264776,60019,1.836
10082,33.847527,-118.264774,60020,1.840
10082,33.847474,-118.264769,60021,1.843
10082,33.847476,-118.264629,60022,1.851
10082,33.847480,-118.264307,60023,1.870
10082,33.847476,-118.263963,60024,1.890
10082,33.847464,-118.263709,60025,1.904
10082,33.847464,-118.263709,70001,1.904
10082,33.847453,-118.263462,70002,1.918
10082,33.847440,-118.263263,70003,1.930
10082,33.847433,-118.263147,70004,1.937
10082,33.847407,-118.262909,70005,1.950
10082,33.847373,-118.262645,70006,1.966
10082,33.847314,-118.262290,70007,1.987
10082,33.847240,-118.261982,70008,2.005
10082,33.847210,-118.261865,70009,2.012
10082,33.847158,-118.261631,70010,2.026
10082,33.847035,-118.261153,70011,2.055
10082,33.846985,-118.260962,70012,2.066
10082,33.846896,-118.260576,70013,2.089
10082,33.846833,-118.260179,70014,2.113
10082,33.846790,-118.259827,70015,2.133
10082,33.846767,-118.259630,70016,2.144
10082,33.846752,-118.259421,70017,2.156
10082,33.846744,-118.259198,70018,2.169
10082,33.846727,-118.258752,70019,2.195
10082,33.846723,-118.258492,70020,2.210
10082,33.846723,-118.258492,80001,2.210
10082,33.846719,-118.258271,80002,2.223
10082,33.846678,-118.256600,80003,2.319
10082,33.846652,-118.255253,80004,2.396
10082,33.846647,-118.254987,80005,2.412
10082,33.846646,-118.254651,80006,2.431
10082,33.846654,-118.254408,80007,2.445
10082,33.846658,-118.254251,80008,2.454
10082,33.846670,-118.254044,80009,2.466
10082,33.846677,-118.253935,80010,2.472
10082,33.846706,-118.253473,80011,2.499
